profile,name,age,iban,trx_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
buyer_1,Luis,28,ES28209530424850980830,TXN-57812402-1,2020-01-01T11:04:33,Bilbao,transfer,Salary,1229.07,1706.15
buyer_1,Luis,28,ES28209530424850980830,TXN-47050236-3,2020-01-05T04:34:35,Bilbao,Basic services,water,-46.06,327.04
buyer_1,Luis,28,ES28209530424850980830,TXN-31479048-4,2020-01-05T08:30:24,Bilbao,Basic services,electricity,-59.78,267.26
buyer_1,Luis,28,ES28209530424850980830,TXN-57496518-2,2020-01-05T14:23:10,Bilbao,Housing,Rent,-1333.05,373.1
buyer_1,Luis,28,ES28209530424850980830,TXN-25095936-6,2020-01-05T19:21:46,Bilbao,Expense,clothing,-378.26,-209.16
buyer_1,Luis,28,ES28209530424850980830,TXN-39373782-5,2020-01-05T23:17:07,Bilbao,Basic services,gas,-98.16,169.1
buyer_1,Luis,28,ES28209530424850980830,TXN-98504868-7,2020-01-06T12:51:26,Bilbao,Basic services,water,-42.74,-251.9
buyer_1,Luis,28,ES28209530424850980830,TXN-15169637-8,2020-01-06T13:33:31,Bilbao,Basic services,phone,-41.93,-293.83
buyer_1,Luis,28,ES28209530424850980830,TXN-95063230-9,2020-01-07T22:42:12,Bilbao,Basic services,electricity,-97.58,-391.41
buyer_1,Luis,28,ES28209530424850980830,TXN-16319510-10,2020-01-12T20:54:32,Bilbao,Expense,food,-540.42,-931.83
buyer_1,Luis,28,ES28209530424850980830,TXN-52190082-11,2020-01-31T14:42:49,Bilbao,Expense,clothing,-277.02,-1208.85
buyer_1,Luis,28,ES28209530424850980830,TXN-3940089-12,2020-02-01T15:59:17,Bilbao,transfer,Salary,1229.07,20.22
buyer_1,Luis,28,ES28209530424850980830,TXN-80373106-13,2020-02-05T18:52:40,Bilbao,Housing,Rent,-1333.05,-1312.83
buyer_1,Luis,28,ES28209530424850980830,TXN-76816210-15,2020-02-05T20:38:22,Bilbao,Basic services,gas,-56.07,-1424.94
buyer_1,Luis,28,ES28209530424850980830,TXN-6960406-14,2020-02-05T21:34:25,Bilbao,Basic services,water,-56.04,-1368.87
buyer_1,Luis,28,ES28209530424850980830,TXN-19461082-16,2020-02-07T17:26:09,Bilbao,Basic services,internet,-65.12,-1490.06
buyer_1,Luis,28,ES28209530424850980830,TXN-43005970-17,2020-02-17T19:35:40,Bilbao,Expense,food,-129.39,-1619.45
buyer_1,Luis,28,ES28209530424850980830,TXN-49665358-18,2020-02-25T13:47:55,Hondarribia,Expense,leisure,-225.77,-1845.22
buyer_1,Luis,28,ES28209530424850980830,TXN-17279084-19,2020-02-26T09:25:18,Labastida/Bastida,Expense,food,-154.58,-1999.8
buyer_1,Luis,28,ES28209530424850980830,TXN-13139275-20,2020-03-01T15:06:44,Bilbao,transfer,Salary,1229.07,-770.73
buyer_1,Luis,28,ES28209530424850980830,TXN-26352775-21,2020-03-01T15:06:44,Bilbao,transfer,Extra Income,122.91,-647.82
buyer_1,Luis,28,ES28209530424850980830,TXN-20943654-22,2020-03-02T14:47:37,Bilbao,Expense,leisure,-36.38,-684.2
buyer_1,Luis,28,ES28209530424850980830,TXN-85422689-23,2020-03-05T20:11:48,Bilbao,Housing,Rent,-1333.05,-2017.25
buyer_1,Luis,28,ES28209530424850980830,TXN-30957528-25,2020-03-06T11:07:51,Bilbao,Basic services,internet,-56.98,-2126.04
buyer_1,Luis,28,ES28209530424850980830,TXN-21369947-27,2020-03-06T16:44:20,Bilbao,Expense,clothing,-147.81,-2303.93
buyer_1,Luis,28,ES28209530424850980830,TXN-88552073-26,2020-03-06T18:01:26,Bilbao,Basic services,phone,-30.08,-2156.12
buyer_1,Luis,28,ES28209530424850980830,TXN-20527155-24,2020-03-06T19:54:26,Bilbao,Basic services,water,-51.81,-2069.06
buyer_1,Luis,28,ES28209530424850980830,TXN-22787278-30,2020-03-07T09:47:55,Durango,Expense,clothing,-358.27,-2915.2
buyer_1,Luis,28,ES28209530424850980830,TXN-45420976-29,2020-03-07T11:58:30,Bilbao,Expense,transport,-178.24,-2556.93
buyer_1,Luis,28,ES28209530424850980830,TXN-6597567-28,2020-03-07T17:09:54,Bilbao,Basic services,internet,-74.76,-2378.69
buyer_1,Luis,28,ES28209530424850980830,TXN-22818217-31,2020-03-09T23:15:39,Pasaia,Expense,food,-717.39,-3632.59
buyer_1,Luis,28,ES28209530424850980830,TXN-45734960-32,2020-03-10T11:45:46,Bilbao,Expense,food,-297.66,-3930.25
buyer_1,Luis,28,ES28209530424850980830,TXN-90843198-33,2020-03-16T16:14:48,Bilbao,Expense,gifts,-413.0,-4343.25
buyer_1,Luis,28,ES28209530424850980830,TXN-34747296-34,2020-03-25T16:14:28,Bilbao,Expense,food,-670.49,-5013.74
buyer_1,Luis,28,ES28209530424850980830,TXN-31450184-35,2020-03-26T09:48:48,Bilbao,Expense,food,-479.75,-5493.49
buyer_1,Luis,28,ES28209530424850980830,TXN-22990368-36,2020-04-01T01:08:32,Bilbao,transfer,Salary,1229.07,-4264.42
buyer_1,Luis,28,ES28209530424850980830,TXN-86877662-37,2020-04-04T18:28:09,Bilbao,Expense,repairs,-330.03,-4594.45
buyer_1,Luis,28,ES28209530424850980830,TXN-35028806-39,2020-04-05T08:17:13,Bilbao,Basic services,phone,-79.17,-6006.67
buyer_1,Luis,28,ES28209530424850980830,TXN-9493032-38,2020-04-05T20:25:13,Bilbao,Housing,Rent,-1333.05,-5927.5
buyer_1,Luis,28,ES28209530424850980830,TXN-57557200-40,2020-04-06T21:30:02,Bilbao,Basic services,electricity,-68.65,-6075.32
buyer_1,Luis,28,ES28209530424850980830,TXN-95259910-41,2020-04-07T15:11:23,Bilbao,Expense,travel,-2893.22,-8968.54
buyer_1,Luis,28,ES28209530424850980830,TXN-20658374-43,2020-04-11T09:09:35,Bilbao,Expense,gifts,-315.57,-9916.4
buyer_1,Luis,28,ES28209530424850980830,TXN-83750548-42,2020-04-11T17:32:46,Errenteria,Expense,food,-632.29,-9600.83
buyer_1,Luis,28,ES28209530424850980830,TXN-54035084-44,2020-04-20T13:00:44,Bilbao,Expense,repairs,-491.09,-10407.49
buyer_1,Luis,28,ES28209530424850980830,TXN-59289311-45,2020-04-21T17:19:27,Bilbao,Expense,food,-383.68,-10791.17
buyer_1,Luis,28,ES28209530424850980830,TXN-50189685-46,2020-05-01T09:42:30,Bilbao,transfer,Salary,1229.07,-9562.1
buyer_1,Luis,28,ES28209530424850980830,TXN-77451267-48,2020-05-05T14:52:37,Bilbao,Basic services,electricity,-66.15,-10961.3
buyer_1,Luis,28,ES28209530424850980830,TXN-65202539-47,2020-05-05T16:37:38,Bilbao,Housing,Rent,-1333.05,-10895.15
buyer_1,Luis,28,ES28209530424850980830,TXN-35693405-49,2020-05-05T18:12:00,Bilbao,Basic services,gas,-80.74,-11042.04
buyer_1,Luis,28,ES28209530424850980830,TXN-13947579-50,2020-05-06T15:56:01,Bilbao,Basic services,gas,-35.86,-11077.9
buyer_1,Luis,28,ES28209530424850980830,TXN-42462970-51,2020-05-07T11:49:24,Bilbao,Basic services,electricity,-80.57,-11158.47
buyer_1,Luis,28,ES28209530424850980830,TXN-11908203-53,2020-05-07T14:25:11,Bilbao,Basic services,phone,-66.42,-11276.61
buyer_1,Luis,28,ES28209530424850980830,TXN-70538715-52,2020-05-07T14:37:22,Bilbao,Basic services,internet,-51.72,-11210.19
buyer_1,Luis,28,ES28209530424850980830,TXN-34175681-54,2020-05-10T12:09:05,Bilbao,Expense,food,-342.54,-11619.15
buyer_1,Luis,28,ES28209530424850980830,TXN-40997137-55,2020-05-10T13:25:05,Bilbao,Expense,gifts,-400.19,-12019.34
buyer_1,Luis,28,ES28209530424850980830,TXN-72707249-56,2020-05-18T16:12:30,Bilbao,Expense,transport,-138.07,-12157.41
buyer_1,Luis,28,ES28209530424850980830,TXN-51980329-60,2020-06-01T14:06:44,Bilbao,Expense,food,-137.6,-9601.57
buyer_1,Luis,28,ES28209530424850980830,TXN-40264271-57,2020-06-01T16:42:49,Bilbao,transfer,Salary,1229.07,-10928.34
buyer_1,Luis,28,ES28209530424850980830,TXN-75423986-58,2020-06-01T16:42:49,Bilbao,transfer,Extra Income,122.91,-10805.43
buyer_1,Luis,28,ES28209530424850980830,TXN-2849393-59,2020-06-01T16:42:49,Bilbao,transfer,Bonus,1341.46,-9463.97
buyer_1,Luis,28,ES28209530424850980830,TXN-53405180-61,2020-06-05T14:53:41,Bilbao,Housing,Rent,-1333.05,-10934.62
buyer_1,Luis,28,ES28209530424850980830,TXN-76445222-62,2020-06-05T23:26:38,Bilbao,Basic services,water,-74.71,-11009.33
buyer_1,Luis,28,ES28209530424850980830,TXN-20371969-65,2020-06-06T08:00:32,Bilbao,Basic services,internet,-55.17,-11193.7
buyer_1,Luis,28,ES28209530424850980830,TXN-59155031-64,2020-06-06T09:51:49,Bilbao,Basic services,gas,-44.1,-11138.53
buyer_1,Luis,28,ES28209530424850980830,TXN-25017810-63,2020-06-06T16:09:35,Bilbao,Basic services,electricity,-85.1,-11094.43
buyer_1,Luis,28,ES28209530424850980830,TXN-10112832-66,2020-06-07T12:28:57,Bilbao,Basic services,water,-46.41,-11240.11
buyer_1,Luis,28,ES28209530424850980830,TXN-86251584-68,2020-06-07T14:57:10,Bilbao,Basic services,gas,-81.43,-11439.79
buyer_1,Luis,28,ES28209530424850980830,TXN-96888093-67,2020-06-07T19:49:42,Bilbao,Basic services,electricity,-118.25,-11358.36
buyer_1,Luis,28,ES28209530424850980830,TXN-51448734-69,2020-06-13T05:50:42,Bilbao,Expense,transport,-164.39,-11604.18
buyer_1,Luis,28,ES28209530424850980830,TXN-24606588-70,2020-06-22T20:46:29,Bilbao,Expense,transport,-151.22,-11755.4
buyer_1,Luis,28,ES28209530424850980830,TXN-57257843-71,2020-07-01T09:05:28,Bilbao,transfer,Salary,1229.07,-10526.33
buyer_1,Luis,28,ES28209530424850980830,TXN-27370339-73,2020-07-05T10:17:47,Bilbao,Basic services,electricity,-149.81,-12009.19
buyer_1,Luis,28,ES28209530424850980830,TXN-33499912-74,2020-07-05T13:10:07,Bilbao,Basic services,internet,-74.52,-12083.71
buyer_1,Luis,28,ES28209530424850980830,TXN-49846992-75,2020-07-05T14:27:34,Bilbao,Basic services,phone,-73.37,-12157.08
buyer_1,Luis,28,ES28209530424850980830,TXN-29140272-72,2020-07-05T23:20:05,Bilbao,Housing,Rent,-1333.05,-11859.38
buyer_1,Luis,28,ES28209530424850980830,TXN-19443118-76,2020-07-07T16:07:04,Bilbao,Basic services,gas,-87.97,-12245.05
buyer_1,Luis,28,ES28209530424850980830,TXN-1870604-77,2020-07-13T08:45:00,Bilbao,Expense,appliances,-517.41,-12762.46
buyer_1,Luis,28,ES28209530424850980830,TXN-68481260-78,2020-07-19T15:29:58,Bilbao,Expense,gifts,-96.67,-12859.13
buyer_1,Luis,28,ES28209530424850980830,TXN-66445003-79,2020-08-01T17:33:35,Bilbao,transfer,Salary,1229.07,-11630.06
buyer_1,Luis,28,ES28209530424850980830,TXN-41663952-80,2020-08-03T05:21:54,Bilbao,Expense,food,-165.36,-11795.42
buyer_1,Luis,28,ES28209530424850980830,TXN-55941545-82,2020-08-05T11:01:11,Bilbao,Basic services,water,-57.35,-13185.82
buyer_1,Luis,28,ES28209530424850980830,TXN-2954273-81,2020-08-05T14:41:23,Bilbao,Housing,Rent,-1333.05,-13128.47
buyer_1,Luis,28,ES28209530424850980830,TXN-64028011-83,2020-08-05T19:22:22,Bilbao,Basic services,gas,-61.72,-13247.54
buyer_1,Luis,28,ES28209530424850980830,TXN-55675937-84,2020-08-06T09:21:29,Bilbao,Basic services,internet,-46.1,-13293.64
buyer_1,Luis,28,ES28209530424850980830,TXN-85475875-85,2020-08-06T14:34:42,Bilbao,Basic services,phone,-70.52,-13364.16
buyer_1,Luis,28,ES28209530424850980830,TXN-21365276-86,2020-08-07T08:30:20,Bilbao,Basic services,water,-58.76,-13422.92
buyer_1,Luis,28,ES28209530424850980830,TXN-57274769-87,2020-08-07T11:32:34,Bilbao,Basic services,gas,-29.92,-13452.84
buyer_1,Luis,28,ES28209530424850980830,TXN-10008168-89,2020-08-07T11:33:13,Bilbao,Basic services,phone,-80.68,-13609.73
buyer_1,Luis,28,ES28209530424850980830,TXN-2822977-88,2020-08-07T13:43:28,Bilbao,Basic services,internet,-76.21,-13529.05
buyer_1,Luis,28,ES28209530424850980830,TXN-18005693-90,2020-08-19T19:23:03,Bilbao,Expense,leisure,-38.16,-13647.89
buyer_1,Luis,28,ES28209530424850980830,TXN-5865275-91,2020-08-23T12:08:48,Bilbao,Expense,education,-495.65,-14143.54
buyer_1,Luis,28,ES28209530424850980830,TXN-62856350-92,2020-09-01T10:34:55,Bilbao,transfer,Salary,1229.07,-12914.47
buyer_1,Luis,28,ES28209530424850980830,TXN-39909476-93,2020-09-01T10:34:55,Bilbao,transfer,Extra Income,122.91,-12791.56
buyer_1,Luis,28,ES28209530424850980830,TXN-75509168-94,2020-09-01T14:57:00,Bilbao,Expense,clothing,-479.14,-13270.7
buyer_1,Luis,28,ES28209530424850980830,TXN-83192252-97,2020-09-05T13:00:51,Bilbao,Expense,food,-407.34,-15055.33
buyer_1,Luis,28,ES28209530424850980830,TXN-52110877-96,2020-09-05T15:06:42,Bilbao,Basic services,gas,-44.24,-14647.99
buyer_1,Luis,28,ES28209530424850980830,TXN-11229739-95,2020-09-05T15:34:19,Bilbao,Housing,Rent,-1333.05,-14603.75
buyer_1,Luis,28,ES28209530424850980830,TXN-68247638-98,2020-09-06T17:15:47,Basauri,Expense,transport,-25.63,-15080.96
buyer_1,Luis,28,ES28209530424850980830,TXN-17228751-100,2020-09-07T11:26:56,Bilbao,Basic services,electricity,-70.97,-15170.36
buyer_1,Luis,28,ES28209530424850980830,TXN-17893162-101,2020-09-07T13:36:51,Bilbao,Basic services,gas,-58.14,-15228.5
buyer_1,Luis,28,ES28209530424850980830,TXN-88637665-99,2020-09-07T21:57:52,Bilbao,Basic services,water,-18.43,-15099.39
buyer_1,Luis,28,ES28209530424850980830,TXN-73414840-102,2020-10-01T13:50:24,Bilbao,transfer,Salary,1229.07,-13999.43
buyer_1,Luis,28,ES28209530424850980830,TXN-73542052-103,2020-10-05T09:40:33,Bilbao,Housing,Rent,-1333.05,-15332.48
buyer_1,Luis,28,ES28209530424850980830,TXN-20755660-104,2020-10-05T13:04:05,Bilbao,Basic services,water,-14.51,-15346.99
buyer_1,Luis,28,ES28209530424850980830,TXN-58529672-105,2020-10-07T08:00:36,Bilbao,Basic services,water,-30.03,-15377.02
buyer_1,Luis,28,ES28209530424850980830,TXN-63863675-106,2020-10-22T10:07:06,Bilbao,Expense,transport,-112.23,-15489.25
