profile,customer,account,transaction_ref_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-61139058-1,2022-01-01T21:47:53,Bilbao,transfer,Salary,3027.9,80455.51999999999
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-73127871-2,2022-01-01T21:47:53,Bilbao,transfer,Partner Salary,3046.93,83502.44999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-16117355-3,2022-01-02T09:03:02,Andoain,Expense,education,-490.26,83012.18999999999
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-94916218-7,2022-01-05T08:35:58,Bilbao,Basic services,phone,-39.16,81548.93999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-53534732-6,2022-01-05T08:46:10,Bilbao,Basic services,gas,-80.6,81588.09999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-20337806-4,2022-01-05T16:33:03,Bilbao,Housing,Mortgage,-1250.78,81761.40999999999
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-58034173-5,2022-01-05T19:09:14,Bilbao,Basic services,electricity,-92.71,81668.69999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-80014356-8,2022-01-06T10:45:08,Bilbao,Basic services,gas,-16.89,81532.04999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-36672842-10,2022-01-06T19:57:07,Bilbao,Expense,food,-260.22,81222.21999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-52274331-9,2022-01-06T23:33:15,Bilbao,Basic services,phone,-49.61,81482.43999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-61141658-11,2022-01-07T10:57:09,Bilbao,Basic services,electricity,-111.77,81110.44999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-20001111-12,2022-01-07T16:14:59,Bilbao,Basic services,internet,-54.84,81055.60999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-1277741-13,2022-01-07T23:06:20,Bilbao,Basic services,phone,-88.94,80966.66999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-71727002-15,2022-01-08T18:03:38,Barakaldo,Expense,healthcare,-269.51,79940.72999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-27166114-14,2022-01-08T23:11:16,Bilbao,Expense,food,-756.43,80210.23999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-70396900-16,2022-01-18T08:48:18,Bilbao,Expense,repairs,-550.09,79390.63999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-71228561-17,2022-02-01T14:46:28,Bilbao,transfer,Salary,3027.9,82418.53999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-85312266-18,2022-02-01T14:46:28,Bilbao,transfer,Partner Salary,3046.93,85465.46999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-95853180-19,2022-02-02T20:51:07,Bilbao,Expense,transport,-24.97,85440.49999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-28215692-20,2022-02-05T14:21:05,Bilbao,Housing,Mortgage,-1250.78,84189.71999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-24145828-21,2022-02-05T18:03:50,Bilbao,Basic services,water,-78.09,84111.62999999998
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-34420248-22,2022-02-05T18:19:52,Bilbao,Basic services,gas,-69.58,84042.04999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-86112157-23,2022-02-06T07:26:26,Bilbao,Basic services,water,-13.02,84029.02999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-49481155-24,2022-02-06T09:34:11,Bilbao,Basic services,electricity,-129.98,83899.04999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-4130695-25,2022-02-07T09:39:04,Bilbao,Basic services,water,-74.41,83824.63999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-71872522-26,2022-02-13T12:05:09,Bilbao,Expense,leisure,-106.53,83718.10999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-2842855-27,2022-02-23T18:28:07,Bilbao,Expense,transport,-86.08,83632.02999999997
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-2444900-28,2022-03-01T18:44:43,Bilbao,transfer,Salary,3027.9,86659.92999999996
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-28310605-29,2022-03-01T18:44:43,Bilbao,transfer,Partner Salary,3046.93,89706.85999999996
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-53676411-30,2022-03-01T18:44:43,Bilbao,transfer,Extra Income,302.79,90009.64999999995
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-58297910-31,2022-03-02T13:00:26,Bilbao,Expense,food,-285.53,89724.11999999995
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-5236064-32,2022-03-02T17:30:33,Bilbao,Expense,transport,-22.59,89701.52999999996
High income,José Luis Bayo Marin,ES1937113699153499059702,TXN-38902395-33,2022-03-05T17:31:54,Bilbao,Housing,Mortgage,-1250.78,88450.74999999996
