profile,name,surname,birth_date,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00001-94138371,2022-01-01T14:02:45,Bilbao,incomes,salary,1589.41,5381.87
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00002-97083583,2022-01-03T23:52:38,Bilbao,expenses,cash,-100.0,5281.87
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00003-12350550,2022-01-04T08:15:24,Bilbao,expenses,rent,-601.82,4680.05
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00004-14591024,2022-01-05T15:39:19,Bilbao,expenses,water,-42.98,4637.07
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00005-84835414,2022-01-05T14:21:01,Bilbao,expenses,electricity,-37.56,4599.51
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00006-94532334,2022-01-05T10:28:43,Bilbao,expenses,food,-79.87,4519.64
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00007-00453081,2022-01-05T23:23:30,Bilbao,expenses,cash,-100.0,4419.64
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00008-06437746,2022-01-06T08:11:33,Bilbao,expenses,appliances,-127.81,4291.83
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00009-25206575,2022-01-07T20:12:22,Bilbao,expenses,internet,-42.0,4249.83
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00010-28031594,2022-01-07T12:26:24,Bilbao,expenses,phone,-36.23,4213.6
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00011-19660728,2022-01-08T20:44:03,Bilbao,expenses,gas,-93.21,4120.39
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00012-60686747,2022-01-08T19:04:39,Bilbao,expenses,transport,-64.73,4055.66
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00013-01260833,2022-01-10T18:34:03,Bilbao,expenses,education,-66.63,3989.03
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00014-34312823,2022-01-12T20:01:01,Bilbao,expenses,repairs,-56.28,3932.75
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00015-19319710,2022-01-16T10:25:38,Salvatierra/Agurain,expenses,transport,-54.24,3878.51
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00016-61149771,2022-01-17T19:31:10,Basauri,expenses,transport,-46.43,3832.08
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00017-17717849,2022-01-20T11:55:04,Bilbao,expenses,leisure,-21.72,3810.36
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00018-02705078,2022-01-20T10:06:13,Bilbao,expenses,cash,-100.0,3710.36
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00019-95169565,2022-01-25T19:47:44,Bilbao,expenses,food,-67.1,3643.26
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00020-20152771,2022-01-25T16:45:58,Bilbao,expenses,cash,-100.0,3543.26
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00021-08753022,2022-01-25T13:22:14,Bilbao,expenses,travel,-680.46,2862.8
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00022-60710784,2022-01-26T15:35:26,Bilbao,expenses,education,-48.08,2814.72
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00023-22811254,2022-01-26T14:19:30,Bermeo,expenses,cash,-100.0,2714.72
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00024-52484204,2022-01-27T15:32:34,Bilbao,expenses,transport,-87.32,2627.4
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00025-96320955,2022-01-27T16:29:32,Bilbao,expenses,repairs,-130.73,2496.67
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00026-51997899,2022-01-29T08:20:29,Bilbao,expenses,food,-79.07,2417.6
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00027-46230425,2022-01-30T09:33:17,Bilbao,expenses,appliances,-198.94,2218.66
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00028-62704840,2022-01-31T08:13:49,Irun,expenses,leisure,-73.81,2144.85
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00029-02881336,2022-02-01T17:30:31,Bilbao,incomes,salary,1589.41,3734.26
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00030-21671202,2022-02-02T19:00:27,Bilbao,expenses,transport,-84.45,3649.81
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00031-31451826,2022-02-03T13:34:06,Bilbao,expenses,food,-91.74,3558.07
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00032-93573135,2022-02-04T13:19:23,Bilbao,expenses,rent,-601.82,2956.25
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00033-86646001,2022-02-05T15:03:55,Bilbao,expenses,water,-44.33,2911.92
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00034-75642703,2022-02-06T12:12:29,Durango,expenses,leisure,-84.57,2827.35
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00035-92482986,2022-02-06T22:32:06,Bilbao,expenses,clothing,-105.08,2722.27
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00036-32023915,2022-02-07T16:07:46,Bilbao,expenses,electricity,-66.43,2655.84
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00037-90720324,2022-02-07T00:21:42,Bilbao,expenses,gas,-47.84,2608.0
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00038-07375285,2022-02-07T14:13:27,Bilbao,expenses,internet,-42.0,2566.0
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00039-47177251,2022-02-07T12:29:36,Bilbao,expenses,phone,-40.23,2525.77
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00040-72337650,2022-02-07T14:27:04,Bilbao,expenses,leisure,-63.41,2462.36
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00041-26130650,2022-02-08T11:32:55,Bilbao,expenses,transport,-48.12,2414.24
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00042-77660813,2022-02-08T18:44:29,Bilbao,expenses,repairs,-211.89,2202.35
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00043-27856315,2022-02-10T02:16:32,Bilbao,expenses,gifts,-288.64,1913.71
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00044-04178738,2022-02-11T10:20:20,Bilbao,expenses,cash,-100.0,1813.71
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00045-14035561,2022-02-13T20:45:17,Bilbao,expenses,leisure,-41.36,1772.35
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00046-65539936,2022-02-15T11:21:44,Hernani,expenses,cash,-100.0,1672.35
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00047-12985003,2022-02-18T17:19:24,Bilbao,expenses,leisure,-83.34,1589.01
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00048-33374632,2022-02-19T19:39:07,Bilbao,expenses,cash,-100.0,1489.01
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00049-22995635,2022-02-20T20:17:03,Bilbao,expenses,gifts,-255.93,1233.08
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00050-68134623,2022-02-22T05:16:12,Bilbao,expenses,cash,-100.0,1133.08
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00051-97522547,2022-02-22T17:37:37,Bilbao,expenses,gifts,-130.02,1003.06
buyer_1,Luis,,1996-08-10,ES05209515179869230980,TRX_N-00052-26882035,2022-02-23T15:26:55,Bilbao,expenses,transport,-64.05,939.01
