cliente,cuenta,perfil,tipo_de_transacción,cantidad_eur,timestamp,ciudad,categoría_transacción,balance,ref_id_transacción
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,transferencia,3883.0637679724628,2022-01-01 00:00:00,Girona,Nómina,85386.29512074766,TXN-547108-1
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Alimentación,8647.814825133959,2022-01-01 00:00:00,Girona,Ropa y accesorios,76738.4802956137,TXN-63758544-2
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Ocio y entretenimiento,5872.864491940366,2022-01-02 00:00:00,Girona,Cuidado personal,70865.61580367334,TXN-14970357-3
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Vivienda,9001.44226142657,2022-01-03 00:00:00,Girona,Transporte,61864.17354224677,TXN-44371216-4
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Mascotas,4662.477977368228,2022-01-04 00:00:00,Girona,Transporte,57201.69556487854,TXN-7284288-5
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Donaciones y caridad,8287.678937256424,2022-01-05 00:00:00,Girona,Servicios básicos,48914.01662762211,TXN-71321956-6
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Alimentación,8579.642189505805,2022-01-06 00:00:00,Girona,Donaciones y caridad,40334.37443811631,TXN-36475843-7
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Donaciones y caridad,9910.492067963192,2022-01-07 00:00:00,Girona,Salud,30423.882370153122,TXN-36079408-8
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Servicios básicos,5264.1985709624705,2022-01-08 00:00:00,Girona,Tecnología,25159.68379919065,TXN-38116324-9
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Servicios básicos,1358.7670462981253,2022-01-09 00:00:00,Girona,Salud,23800.916752892525,TXN-69041531-10
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Mascotas,1774.6156245491795,2022-01-10 00:00:00,Girona,Vivienda,22026.301128343344,TXN-77008989-11
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Cuidado personal,7489.251801350499,2022-01-11 00:00:00,Girona,Ahorro e inversión,14537.049326992845,TXN-87400620-12
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Ocio y entretenimiento,830.96433346778,2022-01-12 00:00:00,Girona,Ropa y accesorios,13706.084993525064,TXN-35048601-13
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Ropa y accesorios,2966.4952901881265,2022-01-13 00:00:00,Girona,Deudas y préstamos,10739.589703336938,TXN-65764132-14
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Subscripciones,9608.581992271042,2022-01-14 00:00:00,Girona,Vivienda,1131.0077110658967,TXN-24204162-15
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,Tecnología,131.35097332708207,2022-01-19 00:00:00,Girona,Vivienda,999.6567377388146,TXN-77187121-16
Marino José Antonio Espinosa Sainz,ES5128121442363556327772,Altos ingresos,transferencia,3883.0637679724628,2022-02-01 00:00:00,Girona,Nómina,4882.720505711277,TXN-65511471-17
