profile,name,surname,birth_date,dni,email,password,iban,assets,trx_date,trx_city,trx_type,trx_cat,trx_amount,balance
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-01T08:23:48,Bilbao,incomes,salary,2754.59,5782.14
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-04T17:19:22,Bilbao,expenses,leisure,-52.11,5730.03
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-05T12:52:20,Bilbao,expenses,rent,-1060.27,4669.76
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-06T15:22:06,Bilbao,expenses,gas,-61.39,4608.37
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-06T17:45:06,Bilbao,expenses,phone,-52.99,4555.38
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-07T13:31:51,Bilbao,expenses,phone,-47.22,4508.16
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-07T21:05:40,Bilbao,expenses,cash,-100.0,4408.16
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-08T05:43:37,Bilbao,expenses,electricity,-37.39,4370.77
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-08T07:25:35,Bilbao,expenses,internet,-57.85,4312.92
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-09T00:51:15,Bilbao,expenses,transport,-76.15,4236.77
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-10T13:24:25,Bilbao,expenses,appliances,-175.38,4061.39
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-10T17:31:31,Bilbao,expenses,repairs,-201.44,3859.95
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-11T18:21:32,Bilbao,expenses,healthcare,-61.88,3798.07
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-13T14:09:33,Bilbao,expenses,food,-78.86,3719.21
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-15T13:43:02,Bilbao,expenses,cash,-100.0,3619.21
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-17T20:26:24,Bilbao,expenses,food,-93.01,3526.2
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-17T16:18:58,Bilbao,expenses,repairs,-152.8,3373.4
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-20T09:22:03,Bilbao,expenses,appliances,-326.21,3047.19
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-22T13:45:33,Bilbao,expenses,gifts,-578.79,2468.4
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-25T13:45:11,Bilbao,expenses,leisure,-33.23,2435.17
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-25T23:59:30,Bilbao,expenses,clothing,-74.0,2361.17
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-25T16:17:21,Bilbao,expenses,cash,-100.0,2261.17
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-26T08:14:58,Bilbao,expenses,repairs,-305.61,1955.56
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-27T13:49:58,Bilbao,expenses,education,-43.84,1911.72
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-28T10:17:21,Bilbao,expenses,food,-117.39,1794.33
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-28T22:15:11,Bilbao,expenses,cash,-100.0,1694.33
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-29T23:43:46,Bilbao,expenses,leisure,-32.39,1661.94
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-01-30T10:10:38,Bilbao,expenses,clothing,-82.12,1579.82
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-01T19:14:21,Bilbao,incomes,salary,2754.59,4334.41
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-01T08:25:21,Bilbao,expenses,gifts,-49.16,4285.25
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-02T20:05:01,Bilbao,expenses,leisure,-84.27,4200.98
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-02T17:14:16,Bilbao,expenses,clothing,-72.25,4128.73
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-04T12:37:53,Bilbao,expenses,transport,-74.23,4054.5
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-05T18:36:18,Bilbao,expenses,rent,-1060.27,2994.23
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-05T21:57:52,Bilbao,expenses,phone,-42.45,2951.78
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-05T22:14:41,Bilbao,expenses,transport,-80.94,2870.84
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-05T23:32:10,Bilbao,expenses,cash,-100.0,2770.84
buyer_1,Aitor,López,1996-08-10,36223003G,aitor.lopez@awesometech.com,972820,ES66209590029379665539,3027.55,2022-02-06T11:15:40,Bilbao,expenses,water,-36.71,2734.13
