profile,name,age,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00001-32997603,2022-01-01T16:21:39,Bilbao,incomes,salary,1240.21,3149.43
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00002-38250233,2022-01-01T16:21:39,Bilbao,incomes,salary_partner,1539.34,4688.77
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00003-05039609,2022-01-04T17:32:46,Bilbao,expenses,mortgage,-974.82,3713.95
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00004-47687257,2022-01-04T00:32:54,Bilbao,Expense,leisure,-63.44,3650.51
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00005-36020534,2022-01-05T17:42:09,Bilbao,expenses,internet,-42.0,3608.51
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00006-29835997,2022-01-05T15:57:49,Barakaldo,Expense,food,-94.49,3514.02
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00007-37291222,2022-01-06T20:20:34,Bilbao,expenses,electricity,-23.22,3490.8
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00008-19857078,2022-01-06T09:32:57,Bilbao,Expense,transport,-44.4,3446.4
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00009-44192416,2022-01-07T15:26:08,Bilbao,Expense,repairs,-212.36,3234.04
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00010-90330295,2022-01-08T19:44:32,Bilbao,expenses,water,-44.25,3189.79
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00011-94653900,2022-01-08T18:27:47,Bilbao,expenses,gas,-68.78,3121.01
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00012-25444039,2022-01-08T20:07:26,Bilbao,expenses,phone,-30.58,3090.43
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00013-85107880,2022-01-08T20:32:42,Bilbao,Expense,transport,-74.06,3016.37
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00014-67063365,2022-01-10T22:45:38,Bilbao,Expense,food,-78.52,2937.85
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00015-72588821,2022-01-10T21:49:59,Bilbao,Expense,cash,-100.0,2837.85
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00016-18866379,2022-01-10T12:33:09,Bilbao,expenses,children,-50.96,2786.89
buyer_1,Luis,28,ES78209545511493038850,TRX_N-00017-87913939,2022-01-12T17:49:43,Bilbao,Expense,cash,-100.0,2686.89
