profile,name,age,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00001-02700280,2022-01-01T19:25:41,Bilbao,incomes,salary,1379.61,1927.01
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00002-07277972,2022-02-01T18:25:16,Bilbao,incomes,salary,1379.61,3306.62
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00003-28306732,2022-03-01T12:08:21,Bilbao,incomes,salary,1379.61,4686.23
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00004-01256661,2022-03-01T12:08:21,Bilbao,incomes,extra_income,137.96,4824.19
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00005-71348798,2022-04-01T13:37:42,Bilbao,incomes,salary,1379.61,6203.8
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00006-58721000,2022-05-01T20:32:33,Bilbao,incomes,salary,1379.61,7583.41
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00007-27883585,2022-06-01T04:57:15,Bilbao,incomes,salary,1379.61,8963.02
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00008-12683179,2022-06-01T04:57:15,Bilbao,incomes,extra_income,137.96,9100.98
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00009-10882454,2022-06-01T04:57:15,Bilbao,incomes,salary_extra,1064.6,10165.58
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00010-34200608,2022-07-01T09:37:06,Bilbao,incomes,salary,1379.61,11545.19
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00011-79432317,2022-08-01T21:16:29,Bilbao,incomes,salary,1379.61,12924.8
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00012-17179318,2022-08-01T21:16:29,Bilbao,incomes,extra_income,137.96,13062.76
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00013-78088874,2022-09-01T23:08:29,Bilbao,incomes,salary,1379.61,14442.37
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00014-98693777,2022-10-01T17:41:57,Bilbao,incomes,salary,1379.61,15821.98
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00015-14298623,2022-11-01T06:35:37,Bilbao,incomes,salary,1379.61,17201.59
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00016-80989248,2022-11-01T06:35:37,Bilbao,incomes,extra_income,137.96,17339.55
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00017-32405455,2022-12-01T06:16:52,Bilbao,incomes,salary,1379.61,18719.16
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00018-43250344,2022-12-01T06:16:52,Bilbao,incomes,salary_extra,1098.69,19817.85
buyer_1,Luis,28,ES97209593027661965842,TRX_N-00019-05723500,2023-01-01T10:28:24,Bilbao,incomes,salary,1379.61,21197.46
