profile,name,age,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00001-91505112,2022-01-01T10:43:58,Bilbao,incomes,salary,1428.93,1995.15
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00002-51374618,2022-02-01T18:46:03,Bilbao,incomes,salary,1428.93,3424.08
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00003-94792598,2022-03-01T11:17:19,Bilbao,incomes,salary,1428.93,4853.01
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00004-05286947,2022-03-01T11:17:19,Bilbao,incomes,extra_income,177.97,5030.98
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00005-49213272,2022-04-01T14:04:23,Bilbao,incomes,salary,1428.93,6459.91
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00006-10818917,2022-05-01T08:44:28,Bilbao,incomes,salary,1428.93,7888.84
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00007-41167648,2022-06-01T08:32:29,Bilbao,incomes,salary,1428.93,9317.77
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00008-78654338,2022-06-01T08:32:29,Bilbao,incomes,extra_income,177.97,9495.74
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00009-11819695,2022-06-01T08:32:29,Bilbao,incomes,salary_bonus,1053.42,10549.16
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00010-98497681,2022-07-01T19:06:25,Bilbao,incomes,salary,1428.93,11978.09
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00011-61246453,2022-08-01T20:29:39,Bilbao,incomes,salary,1428.93,13407.02
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00012-92932040,2022-09-01T11:43:57,Bilbao,incomes,salary,1428.93,14835.95
buyer_1,Luis,28,ES66209517300200123839,TRX_N-00013-81177017,2022-09-01T11:43:57,Bilbao,incomes,extra_income,177.97,15013.92
