profile,name,surname,birth_date,dni,email,password,city,iban,balance,category,amount,timestamp
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,salary,2484.35,2022-01-01T17:45:54
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,transport,-75.74,2022-01-01T12:02:40
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,education,-77.23,2022-01-01T18:03:09
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,travel,-1383.79,2022-01-03T20:22:35
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,rent,-712.3,2022-01-04T10:02:05
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,cash,-100.0,2022-01-04T10:54:28
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,transport,-58.23,2022-01-05T19:24:15
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,cash,-100.0,2022-01-05T19:32:40
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,water,-26.96,2022-01-06T09:47:02
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,internet,-42.0,2022-01-06T20:48:37
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-91.58,2022-01-06T19:29:52
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,gas,-55.71,2022-01-07T14:01:18
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,electricity,-21.92,2022-01-08T19:16:49
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,phone,-34.35,2022-01-08T17:13:03
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-118.65,2022-01-08T18:43:09
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,transport,-63.67,2022-01-08T10:06:50
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-103.55,2022-01-09T20:31:01
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-61.45,2022-01-10T09:20:16
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,leisure,-36.32,2022-01-10T11:06:00
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,clothing,-152.3,2022-01-12T20:47:26
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-107.35,2022-01-13T11:02:56
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,food,-121.26,2022-01-14T12:28:55
buyer_1,Luis,,1996-08-10,23811625R,luis.@example.com,36429607,Bilbao,ES96209577854567490127,-55764.22000000015,gifts,-530.6,2022-01-14T10:31:49
