profile,name,age,iban,trx_id,timestamp,city,trx_type,trx_cat,amount_eur,balance
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00001-69609917,2022-01-02T15:02:36,Bilbao,expenses,children,-276.18,914.44
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00002-08046548,2022-02-28T14:09:07,Bilbao,expenses,children,-152.48,761.96
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00003-00239382,2022-03-16T11:05:30,Bilbao,expenses,children,-117.11,644.85
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00004-55622736,2022-03-27T14:32:57,Bilbao,expenses,children,-190.77,454.08
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00005-66552899,2022-05-27T15:37:09,Bilbao,expenses,children,-172.62,281.46
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00006-17466434,2022-06-15T11:44:08,Bilbao,expenses,children,-195.82,85.64
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00007-09808500,2022-07-22T01:19:56,Bilbao,expenses,children,-170.96,-85.32
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00008-21808842,2022-08-03T16:00:10,Bilbao,expenses,children,-196.26,-281.58
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00009-76142207,2022-09-09T15:52:52,Bilbao,expenses,children,-84.17,-365.75
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00010-94374726,2022-09-11T09:09:56,Bilbao,expenses,children,-176.46,-542.21
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00011-91962876,2022-09-23T18:51:55,Bilbao,expenses,children,-68.73,-610.94
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00012-37858939,2022-10-05T10:58:17,Bilbao,expenses,children,-94.11,-705.05
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00013-82729912,2022-11-25T13:13:01,Bilbao,expenses,children,-159.76,-864.81
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00014-81002844,2022-12-19T19:07:08,Bilbao,expenses,children,-92.32,-957.13
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00015-57766632,2023-01-08T16:09:58,Bilbao,expenses,children,-175.73,-1132.86
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00016-17517967,2023-01-10T11:15:42,Bilbao,expenses,children,-163.53,-1296.39
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00017-63620736,2023-01-14T12:52:13,Bilbao,expenses,children,-103.18,-1399.57
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00018-50274084,2023-02-22T16:11:03,Bilbao,expenses,children,-155.57,-1555.14
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00019-52688738,2023-04-05T14:28:24,Bilbao,expenses,children,-191.27,-1746.41
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00020-25864812,2023-05-05T17:03:40,Bilbao,expenses,children,-62.93,-1809.34
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00021-13650812,2023-05-25T11:58:12,Bilbao,expenses,children,-59.59,-1868.93
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00022-30092531,2023-05-30T09:44:59,Bilbao,expenses,children,-125.5,-1994.43
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00023-61017916,2023-06-27T15:36:05,Bilbao,expenses,children,-246.45,-2240.88
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00024-78034169,2023-07-07T18:13:11,Bilbao,expenses,children,-251.27,-2492.15
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00025-66446254,2023-10-14T11:14:27,Bilbao,expenses,children,-66.27,-2558.42
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00026-72397051,2023-11-27T19:08:26,Bilbao,expenses,children,-146.89,-2705.31
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00027-45899674,2023-12-05T00:10:36,Bilbao,expenses,children,-244.83,-2950.14
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00028-17137078,2023-12-15T19:40:35,Bilbao,expenses,children,-71.06,-3021.2
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00029-61412890,2024-01-24T15:58:38,Bilbao,expenses,children,-179.82,-3201.02
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00030-84362128,2024-01-31T10:27:02,Bilbao,expenses,children,-199.03,-3400.05
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00031-47068975,2024-03-14T08:47:53,Bilbao,expenses,children,-126.35,-3526.4
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00032-15938544,2024-04-07T06:57:34,Bilbao,expenses,children,-175.33,-3701.73
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00033-62176010,2024-04-11T09:24:46,Bilbao,expenses,children,-63.71,-3765.44
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00034-50832382,2024-04-21T11:14:18,Bilbao,expenses,children,-205.07,-3970.51
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00035-41965820,2024-06-01T12:21:27,Bilbao,expenses,children,-57.84,-4028.35
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00036-07266677,2024-06-03T13:24:13,Bilbao,expenses,children,-108.84,-4137.19
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00037-01307677,2024-07-12T15:33:19,Bilbao,expenses,children,-104.35,-4241.54
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00038-74523649,2024-08-04T21:08:12,Bilbao,expenses,children,-232.25,-4473.79
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00039-45079752,2024-09-05T12:23:35,Bilbao,expenses,children,-140.94,-4614.73
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00040-22383632,2024-09-22T14:36:24,Bilbao,expenses,children,-182.43,-4797.16
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00041-20657079,2024-09-26T14:47:23,Bilbao,expenses,children,-270.41,-5067.57
buyer_1,Luis,28,ES17209546647094063701,TRX_N-00042-56941677,2024-10-03T08:09:21,Bilbao,expenses,children,-245.89,-5313.46
