profile,customer,account,transaction_ref_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-42573501-1,2022-01-01T02:42:55,Bilbao,transfer,Salary,3172.24,24494.659999999996
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-4543140-2,2022-01-01T02:42:55,Bilbao,transfer,Partner Salary,2746.29,27240.949999999997
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-72504486-3,2022-01-01T09:09:34,Bilbao,Expense,transport,-155.68,27085.269999999997
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-56923417-4,2022-01-02T14:05:47,Bilbao,Expense,Minor expenses,-5.26,27080.01
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-41325981-5,2022-01-03T10:32:04,Bilbao,Expense,Minor expenses,-6.64,27073.37
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-69963498-6,2022-01-04T20:23:41,Bilbao,Expense,Minor expenses,-4.21,27069.16
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-13725776-7,2022-01-05T14:42:39,Bilbao,Housing,Mortgage,-1219.45,25849.71
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-82251017-9,2022-01-05T15:23:53,Bilbao,Expense,Minor expenses,-3.4,25784.71
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-34566099-8,2022-01-05T20:12:08,Bilbao,Basic services,water,-61.6,25788.11
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-76139328-10,2022-01-06T13:50:47,Bilbao,Basic services,electricity,-70.42,25714.29
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-60901324-11,2022-01-06T15:18:47,Bilbao,Expense,Minor expenses,-9.53,25704.760000000002
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-43745246-13,2022-01-07T11:37:34,Getxo,Expense,Minor expenses,-9.7,25660.210000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-85057318-12,2022-01-07T16:51:32,Bilbao,Basic services,gas,-34.85,25669.910000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-75987860-14,2022-01-09T19:57:38,Bilbao,Expense,Minor expenses,-5.21,25655.000000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-12150103-17,2022-01-11T10:01:19,Bilbao,Expense,Minor expenses,-9.2,25132.830000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-4685295-15,2022-01-11T12:39:27,Bilbao,Expense,food,-357.55,25297.450000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-80674788-16,2022-01-11T17:24:47,Bilbao,Expense,Car expenses,-155.42,25142.030000000006
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-53547530-18,2022-01-13T17:17:51,Bilbao,Expense,Minor expenses,-4.06,25128.770000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-21650839-19,2022-01-14T10:47:02,Santurtzi,Expense,Minor expenses,-4.23,25124.540000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-38752044-20,2022-01-15T12:13:23,Bilbao,Expense,Minor expenses,-6.87,25117.670000000006
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-50844234-21,2022-01-16T22:28:13,Bilbao,Expense,Minor expenses,-9.53,25108.140000000007
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-91319913-23,2022-01-17T12:37:09,Bilbao,Expense,Car expenses,-170.17,24496.76000000001
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-98568293-22,2022-01-17T19:20:09,Labastida/Bastida,Expense,food,-441.21,24666.930000000008
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-16951123-24,2022-01-18T20:19:40,Bilbao,Expense,Minor expenses,-5.13,24491.63000000001
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-9247989-25,2022-01-19T10:26:53,Bilbao,Expense,Minor expenses,-6.73,24484.90000000001
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-36247815-26,2022-01-20T08:52:07,Bilbao,Expense,Minor expenses,-8.38,24476.520000000008
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-99217778-27,2022-01-23T18:35:04,Bilbao,Expense,Minor expenses,-8.88,24467.640000000007
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-57689790-28,2022-01-24T06:42:54,Bilbao,Expense,Minor expenses,-4.2,24463.440000000006
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-20210309-29,2022-01-25T09:27:39,Bilbao,Expense,Minor expenses,-4.46,24458.980000000007
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-54391604-30,2022-01-27T15:57:53,Bilbao,Expense,Minor expenses,-3.58,24455.400000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-19960010-32,2022-01-28T08:22:40,Bilbao,Expense,Minor expenses,-3.1,24420.280000000006
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-60449028-31,2022-01-28T19:17:21,Bilbao,Expense,Pet expenses,-32.02,24423.380000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-10907685-33,2022-01-29T15:02:29,Barakaldo,Expense,gifts,-48.15,24372.130000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-29425274-35,2022-01-30T12:19:18,Bilbao,Expense,Minor expenses,-6.6,24256.810000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-22555724-34,2022-01-30T21:20:28,Bilbao,Expense,clothing,-108.72,24263.410000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-60608466-38,2022-02-01T13:47:05,Bilbao,Expense,Minor expenses,-4.76,30170.580000000005
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-22380793-36,2022-02-01T14:24:41,Bilbao,transfer,Salary,3172.24,27429.050000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-2353410-37,2022-02-01T14:24:41,Bilbao,transfer,Partner Salary,2746.29,30175.340000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-31526760-39,2022-02-02T20:39:29,Bilbao,Expense,Minor expenses,-8.72,30161.860000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-64909039-40,2022-02-04T12:52:34,Bilbao,Expense,Minor expenses,-9.68,30152.180000000004
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-43490394-43,2022-02-05T00:54:31,Bilbao,Basic services,electricity,-110.07,28794.010000000002
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-41449214-44,2022-02-05T10:49:42,Bilbao,Expense,Pet expenses,-68.44,28725.570000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-28860134-41,2022-02-05T13:28:50,Bilbao,Housing,Mortgage,-1219.45,28932.730000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-59729876-42,2022-02-05T13:52:10,Bilbao,Basic services,water,-28.65,28904.08
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-69775311-48,2022-02-06T12:36:04,Bilbao,Expense,education,-143.41,28423.81
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-20309728-46,2022-02-06T13:23:18,Bilbao,Basic services,gas,-79.63,28605.780000000002
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-52908404-47,2022-02-06T15:26:42,Bilbao,Basic services,internet,-38.56,28567.22
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-80121932-49,2022-02-06T16:24:01,Bilbao,Expense,Minor expenses,-7.87,28415.940000000002
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-94553557-45,2022-02-06T19:38:13,Bilbao,Basic services,electricity,-40.16,28685.410000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-47331355-51,2022-02-07T08:41:09,Bilbao,Basic services,gas,-48.62,28323.550000000003
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-16415876-50,2022-02-07T11:33:56,Bilbao,Basic services,water,-43.77,28372.170000000002
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-99781433-52,2022-02-07T12:38:46,Bilbao,Basic services,internet,-32.31,28291.24
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-14159376-53,2022-02-07T19:31:32,Bilbao,Expense,healthcare,-345.24,27946.0
High income,Clemente Girona Tapia,ES9559332145727142034662,TXN-6161110-54,2022-02-08T19:13:07,Bilbao,Expense,Minor expenses,-3.14,27942.86
