cliente,cuenta,perfil,tipo_de_transacción,cantidad_eur,timestamp,ciudad,categoría_transacción,balance,ref_id_transacción
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-04-01 00:00:00,Zaragoza,Nómina,25180.647410683872,TXN-79106430-1
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Tecnología,4236.671652450034,2024-04-01 00:00:00,Zaragoza,Ropa y accesorios,20943.97575823384,TXN-64198084-2
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Subscripciones,4002.823931918383,2024-04-02 00:00:00,Zaragoza,Deudas y préstamos,16941.151826315458,TXN-27313875-3
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Ahorro e inversión,2807.428637630277,2024-04-03 00:00:00,Zaragoza,Educación,14133.72318868518,TXN-22732545-4
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Mascotas,7402.25027327235,2024-04-04 00:00:00,Zaragoza,Tecnología,6731.472915412831,TXN-91997776-5
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Ocio y entretenimiento,444.80438466901325,2024-04-06 00:00:00,Zaragoza,Ahorro e inversión,6286.668530743817,TXN-12309230-6
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Alimentación,3910.683897176437,2024-04-07 00:00:00,Zaragoza,Ocio y entretenimiento,2375.9846335673806,TXN-99587014-7
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Servicios básicos,924.8904261941699,2024-04-08 00:00:00,Zaragoza,Alimentación,1451.0942073732108,TXN-51208840-8
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Vivienda,417.3638511252589,2024-04-19 00:00:00,Zaragoza,Alimentación,1033.730356247952,TXN-41085902-9
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Servicios básicos,424.7072673693552,2024-04-22 00:00:00,Zaragoza,Ocio y entretenimiento,609.0230888785968,TXN-47602338-10
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Donaciones y caridad,469.6803313360282,2024-04-29 00:00:00,Zaragoza,Ocio y entretenimiento,139.34275754256862,TXN-24633801-11
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-05-01 00:00:00,Zaragoza,Nómina,3809.7671228846802,TXN-69199916-12
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Ocio y entretenimiento,1921.984108417769,2024-05-02 00:00:00,Zaragoza,Vivienda,1887.7830144669113,TXN-88689599-13
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Salud,316.23500455862927,2024-05-05 00:00:00,Zaragoza,Salud,1571.548009908282,TXN-6606025-14
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Cuidado personal,1178.2909014273864,2024-05-12 00:00:00,Zaragoza,Subscripciones,393.25710848089557,TXN-69457027-15
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Subscripciones,179.86895579468404,2024-05-14 00:00:00,Zaragoza,Tecnología,213.38815268621153,TXN-60718906-16
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Deudas y préstamos,171.13855543058204,2024-05-19 00:00:00,Zaragoza,Ocio y entretenimiento,42.24959725562948,TXN-88139183-17
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-06-01 00:00:00,Zaragoza,Nómina,3712.673962597741,TXN-77944724-18
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Subscripciones,2740.5959406549337,2024-06-04 00:00:00,Zaragoza,Ahorro e inversión,972.0780219428075,TXN-77960031-19
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Salud,804.8872205817593,2024-06-20 00:00:00,Zaragoza,Mascotas,167.19080136104822,TXN-7052000-20
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Cuidado personal,133.90177057440445,2024-06-24 00:00:00,Zaragoza,Donaciones y caridad,33.289030786643764,TXN-77612555-21
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-07-01 00:00:00,Zaragoza,Nómina,3703.7133961287554,TXN-97902940-22
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Cuidado personal,3006.3974575907027,2024-07-01 00:00:00,Zaragoza,Salud,697.3159385380527,TXN-64981367-23
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Ahorro e inversión,657.5027811749445,2024-07-17 00:00:00,Zaragoza,Ropa y accesorios,39.81315736310819,TXN-65207962-24
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-08-01 00:00:00,Zaragoza,Nómina,3710.23752270522,TXN-76875438-25
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Ocio y entretenimiento,2141.708359290891,2024-08-01 00:00:00,Zaragoza,Ocio y entretenimiento,1568.5291634143287,TXN-6543018-26
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Tecnología,1375.4926314173695,2024-08-03 00:00:00,Zaragoza,Subscripciones,193.03653199695918,TXN-97456182-27
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-09-01 00:00:00,Zaragoza,Nómina,3863.460897339071,TXN-88705107-28
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Mascotas,905.3239135179472,2024-09-03 00:00:00,Zaragoza,Cuidado personal,2958.136983821124,TXN-12209447-29
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Deudas y préstamos,2214.7084465315907,2024-09-16 00:00:00,Zaragoza,Donaciones y caridad,743.4285372895333,TXN-33284368-30
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,transferencia,3670.4243653421117,2024-10-01 00:00:00,Zaragoza,Nómina,4413.852902631645,TXN-23343493-31
Melisa Bonet-Gárate,ES9415647123922572694138,Altos ingresos,Vivienda,3498.5535863851233,2024-10-04 00:00:00,Zaragoza,Salud,915.2993162465214,TXN-97527793-32
