profile,customer,account,transaction_ref_id,timestamp,city,transaction_type,transaction_category,amount_eur,balance
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-55682254-1,2022-01-01 22:14:48,Bilbao,transfer,Salary,2797.500562209198,23046.029815320366
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-84095216-2,2022-01-05 08:53:04,Bilbao,Housing,Mortgage,-1881.0682786051761,21164.96153671519
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-29300219-5,2022-01-05 11:10:39,Galdakao,Basic services,internet,-37.6186189310572,21036.726374161834
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-73781341-4,2022-01-05 12:35:24,Eibar,Basic services,gas,-38.540947760594804,21074.34499309289
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-52498694-3,2022-01-05 21:58:54,Bilbao,Basic services,electricity,-52.07559586170601,21112.885940853484
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-99670464-6,2022-01-06 11:14:24,Durango,Basic services,water,-66.34081488758164,20970.38555927425
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-76518207-7,2022-01-07 06:13:48,Bilbao,Basic services,water,-19.253385712003137,20951.132173562248
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-56124003-9,2022-01-07 16:56:08,Santurtzi,Basic services,phone,-99.68244037307569,20788.56316112609
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-40617710-8,2022-01-07 20:41:38,Basauri,Basic services,internet,-62.88657206308236,20888.245601499166
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-85185204-10,2022-02-01 08:03:44,Bilbao,transfer,Salary,2797.500562209198,23586.06372333529
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-97808181-11,2022-02-04 18:27:09,Bilbao,Expense,travel,-917.899714143308,22668.164009191983
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-66614724-12,2022-02-05 14:51:26,Bilbao,Housing,Mortgage,-1005.9089785261907,21662.255030665794
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-34843728-14,2022-02-05 18:31:51,Galdakao,Basic services,electricity,-136.9717607029832,21484.116691402054
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-9483893-13,2022-02-05 23:53:48,Bilbao,Basic services,water,-41.166578560759305,21621.088452105036
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-52840670-17,2022-02-07 09:37:02,Eibar,Basic services,gas,-49.1892977866818,21287.186839186415
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-21944503-16,2022-02-07 14:11:20,San Sebastian,Basic services,electricity,-96.76971327102149,21336.376136973096
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-49250687-15,2022-02-07 19:45:15,San Sebastian,Basic services,water,-50.97084115793893,21433.145850244116
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-34949042-18,2022-02-17 23:48:20,Santurtzi,Expense,food,-605.7675443937958,20681.41929479262
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-71266131-19,2022-02-23 17:16:39,Portugalete,Expense,transport,-134.4257803229803,20546.99351446964
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-68720645-20,2022-02-25 09:41:28,Barakaldo,Expense,healthcare,-360.4320869301581,20186.56142753948
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-50390239-21,2022-03-01 14:02:08,Bilbao,transfer,Salary,2797.500562209198,22984.06198974868
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-18379076-22,2022-03-02 14:18:12,Hernani,Expense,transport,-155.8603516155105,22828.20163813317
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-79356208-23,2022-03-04 09:15:50,Getxo,Expense,transport,-187.7783591546931,22640.423278978476
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-89962791-24,2022-03-05 08:46:54,Bilbao,Housing,Mortgage,-572.9245253522304,22067.498753626245
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-99760386-25,2022-03-06 16:41:34,Sestao,Basic services,gas,-21.639992341983287,22045.85876128426
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-74807466-26,2022-03-07 09:56:03,Basauri,Basic services,gas,-78.19011342473394,21967.668647859526
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-96242254-27,2022-03-07 12:28:41,Bilbao,Basic services,internet,-54.82287416756658,21912.84577369196
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-71688863-28,2022-03-08 23:31:56,San Sebastian,Expense,leisure,-265.0333477175395,21647.812425974418
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-55812401-29,2022-03-15 14:48:03,Santurtzi,Expense,leisure,-175.10486125573553,21472.707564718683
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-76933715-30,2022-03-19 20:50:17,Sestao,Expense,transport,-146.93641831700535,21325.77114640168
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-34245172-31,2022-03-27 15:02:46,Galdakao,Expense,clothing,-236.82300008678106,21088.9481463149
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-85801432-32,2022-03-30 18:27:43,Errenteria,Expense,repairs,-618.5844858139468,20470.363660500952
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-46810111-33,2022-04-01 16:13:00,Bilbao,transfer,Salary,2797.500562209198,23267.86422271015
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-63300011-34,2022-04-03 21:14:51,Portugalete,Expense,travel,-2947.0681296861612,20320.79609302399
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-77687891-36,2022-04-05 08:24:33,Galdakao,Basic services,water,-37.35221746303385,19295.554379432735
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-57689918-38,2022-04-05 08:37:47,Arrasate/Mondragon,Basic services,phone,-29.980450391998524,19149.82770304536
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-30566137-35,2022-04-05 17:37:24,Bilbao,Housing,Mortgage,-987.8894961282203,19332.90659689577
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-93385042-37,2022-04-05 22:39:28,Vitoria-Gasteiz,Basic services,electricity,-115.74622599537486,19179.80815343736
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-62735154-40,2022-04-06 14:41:59,Bilbao,Basic services,gas,-79.9232115031374,18931.898178527088
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-35273140-39,2022-04-06 19:32:38,Getxo,Basic services,electricity,-138.00631301513698,19011.821390030225
High income,Lino Remigio Ramos Pareja,ES6349178815136999658353,TXN-39180136-41,2022-04-07 11:19:03,Irun,Basic services,electricity,-85.98853907274393,18845.909639454345
